id,po_id,po_number,line_no,sku,description,quantity_ordered,uom,unit_price,line_total,tax_rate_pct,hsn_sac_code
POL-2291-1,PO-2291,PO-2291,1,SKU-8801,MS Angle 50x50x6mm - IS 2062 Grade A,1200,EA,385.00,462000.00,18,7216
POL-2291-2,PO-2291,PO-2291,2,SKU-8802,GI Pipe 40mm Class-B (6m length),800,EA,297.00,237600.00,18,7306
POL-2291-3,PO-2291,PO-2291,3,SKU-8803,Welding Electrode 3.15mm (5kg box),250,BOX,496.00,124000.00,18,8311
POL-2291-4,PO-2291,PO-2291,4,SVC-FRT,Freight and handling - ex works Bhosari,1,LOT,23857.63,23857.63,18,9965
POL-3417-1,PO-3417,PO-3417,1,SKU-4471,"Bearing assembly, deep groove, 6205-2RS",200,EA,1450.00,290000.00,0,8482
POL-3417-2,PO-3417,PO-3417,2,SKU-2210,"Mounting bracket, MS powder-coated, 120x80",500,EA,390.00,195000.00,0,7326
POL-5510-1,PO-5510,PO-5510,1,SKU-3301,Corrugated box 5-ply 18x12x10 inch,4200,EA,42.50,178500.00,18,4819
POL-5510-2,PO-5510,PO-5510,2,SKU-3302,Stretch wrap film 500mm x 23 micron,800,ROLL,131.00,104800.00,18,3920
POL-5510-3,PO-5510,PO-5510,3,SVC-FRT,Freight - Lucknow to Pune,1,LOT,7284.75,7284.75,18,9965
POL-6604-1,PO-6604,PO-6604,1,SVC-FRT-01,"Freight forwarding services - Mumbai to Pune, June 2026",1,LOT,156356.00,156356.00,18,9965
POL-7723-1,PO-7723,PO-7723,1,SKU-1101,A4 Copier Paper 75gsm (500 sheet ream),300,REAM,112.00,33600.00,18,4802
POL-7723-2,PO-7723,PO-7723,2,SKU-1102,"Whiteboard marker, assorted (pack of 10)",110,PACK,38.00,4180.00,18,9608
POL-7723-3,PO-7723,PO-7723,3,SVC-DEL,Delivery charges,1,LOT,355.59,355.59,18,9965
POL-9001-1,PO-9001,PO-9001,1,SKU-1201,"Ergonomic office chair, mesh back",20,EA,5084.746,101694.92,18,9401
POL-8890-1,PO-8890,PO-8890,1,SKU-6601,"Carbide insert CNMG 120408, grade P25",400,EA,158.898,63559.32,18,8209
POL-4402-1,PO-4402,PO-4402,1,SKU-5501,Network switch 24-port managed gigabit,20,EA,3500.00,70000.00,18,8517
POL-4402-2,PO-4402,PO-4402,2,SVC-INST,Installation and configuration services,1,LOT,7966.10,7966.10,18,9983
